asin,ranking,date_first_available,product_name,price,mrp,is_dotd,is_deal,is_ld,ratings_count,rating,status,sold_by,fba/mfn,shipping_fee,details
B0BJ73KHKJ,#19 in Watches #4 inWomen's Fashion Smartwatches#6 inMen's Fashion Smartwatches#51 inSmart Watches,12-Jan-23,"Noise Twist Round Dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, Up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Silver Grey)",1799,4999,FALSE,FALSE,FALSE,5360,4.1,In stock,Appario Retail Private Ltd,FBA,0,"brand : Noise | manufacturer : Nexxbase Marketing Pvt. Ltd | series : NoiseFit Twist | colour : Silver Grey | item_height : 12 Millimeters | item_width : 39 Millimeters | standing_screen_display_size : 1.38 Inches | product_dimensions : 4.7 x 3.9 x 1.2 cm; 45 Grams | item_model_number : wrb-sw-twist-std-slvr_gry | connectivity_type : Bluetooth | wireless_type : Bluetooth | wattage : 40 Watts | operating_system : android, ios | average_battery_life_in_hours : 7 Days | included_components : Smartwatch, Magnetic Charger, User Manual, Warranty Card | country_of_origin : China | item_weight : 45 g | ratings : 5,360 | packer : Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132 | importer : Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132 | item_dimensions_lxwxh : 47 x 39 x 12 Millimeters | net_quantity : 1 Piece | generic_name : Smartwatch"
B0BR54P4W8,#600 in Electronics #56 inSmart Watches,27-Dec-22,"ID-116 Smartwatch for Men's Womens Boys Girls, Bluetooth Smart Fitness Band Watch with Heart Rate Activity Tracker Step & Sports Activity Tracker Smart Watch for",329,1999,FALSE,FALSE,FALSE,217,2.6,In stock,World Wide Hub,MFN,0,"brand : Generic | manufacturer : Manufacturer | model : ID 116 | model_name : id 116 | product_dimensions : 17.78 x 10.16 x 10.16 cm; 40 Grams | item_model_number : ID 116 | operating_system : Smartwatch | compatible_devices : Tablet | special_features : Blood Pressure, Sleep Monitor, Activity Tracker | mounting_hardware : No charger, strap, Smart bracelet | number_of_items : 1 | display_technology : LCD | standing_screen_display_size : 1.5 Inches | display_type : LCD | battery_average_life : 7 Days | batteries_included : Yes | batteries_required : No | wireless_type : Bluetooth | connector_type : USB | device_interface_primary : Touchscreen | country_of_origin : India | item_weight : 40 g | ratings : 217 | packer : MAKHAN ENTERPRISES | importer : MAKHAN ENTERPRISES | item_dimensions_lxwxh : 17.8 x 10.2 x 10.2 Centimeters | net_quantity : 1.00 count | generic_name : smart watch"
B0BS6ZP7KS,#41 in Watches (See Top 100 in Watches)#18 inMen's Wrist Watches,12-Jan-23,Acnos Brand Arrow Blk Arrow Boys Mens Black Wrist Watch for Boys Analog Watch for Men Pack of 1,265,1499,TRUE,FALSE,FALSE,165,4.3,In stock,A SQUARE EMPIRE,FBA,0,is_discontinued_by_manufacturer : No | product_dimensions : 0.6 x 0.8 x 1 cm; 30 Grams | manufacturer : Acnos | item_model_number : BLACK-DEZON | country_of_origin : India | department : Men | packer : Acnos india 7624023411 | item_weight : 30 g | item_dimensions_lxwxh : 6 x 8 x 10 Millimeters | net_quantity : 2.00 count | generic_name : Casual Watch | ratings : 165
B08YWVRW41,#26 in Watches (See Top 100 in Watches)#10 inMen's Wrist Watches,18-Feb-21,Matrix Analog Day & Date Display Wrist Watch for Men & Boys (Black),259,2499,TRUE,FALSE,FALSE,3082,3.7,In stock,Turrantbuy,FBA,0,"is_discontinued_by_manufacturer : No | product_dimensions : 12 x 12 x 12 cm; 120 Grams | manufacturer : Turrantbuy | item_model_number : DD-84-85 | country_of_origin : India | department : Men | packer : TURRANTBUY | item_weight : 120 g | item_dimensions_lxwxh : 12 x 12 x 12 Centimeters | net_quantity : 1.00 count | generic_name : Casual Watch | ratings : 3,082"
B0BZ8T21V4,#6 in Watches (See Top 100 in Watches)#3 inWomen's Fashion Smartwatches#3 inMen's Fashion Smartwatches#21 inSmart Watches,22-Mar-23,"Fastrack New Limitless FS1 Smart Watch|Biggest 1.95"" Horizon Curve Display|SingleSync BT Calling v5.3|Built-in Alexa|Upto 5 Day Battery|ATS Chipset with Zero Lag|100+ Sports Modes|150+ Watchfaces",2495,4495,TRUE,FALSE,FALSE,1806,3.9,In stock,VRP Telematics,FBA,0,"batteries : 1 Lithium Polymer batteries required. (included) | product_dimensions : 4.7 x 4 x 1.2 cm; 42 Grams | manufacturer : Imported by Titan Company Limited, Imported by Titan Company Limited 3 Sipcot Industries complex, Hosur- 635126 | item_model_number : 38095PP01 | country_of_origin : China | department : Unisex | packer : Titan Company Ltd, Titan Company Limited 3 Sipcot Industries Complex Hosur - 635126 Customer Care at 1800-266-0123 or email us at customercare@titan.co.in | importer : Titan Company Limited 3 Sipcot Industries complex, Hosur- 635126 | item_weight : 42 g | item_dimensions_lxwxh : 47 x 40 x 12 Millimeters | net_quantity : 1 Piece | included_components : Watch Head, Watch Strap, Magnetic Charging Cable, Quick Start Guide, Warranty Card | generic_name : Smart Watch | ratings : 1,806"
B0BQ2VVPTQ,"#5,914 in Electronics #420 inSmart Watches",14-Dec-22,IBS Ultra Seris 8 Smart Watch Men Two Watch NFC Door Unlock Smartwatch Bluetooth Call Wireless Charge Fitness Bracelet (Ultra T-800 Orange),1249,9999,FALSE,FALSE,FALSE,249,2.8,In stock,Deals UnLimited,FBA,0,"brand : IBS | manufacturer : IBS | model : T 800 | model_name : Ultra T-800 | product_dimensions : 1 x 1 x 0.5 cm; 140 Grams | item_model_number : T 800 | operating_system : Smartwatch | compatible_devices : Smartphone | special_features : Sleep Monitor, Email, Pe, Alarm Clock | mounting_hardware : USB CABLE CHARGER | number_of_items : 1 | display_technology : LCD | standing_screen_display_size : 2 Inches | display_type : LCD | wattage : 220 milliamp_hours | battery_average_life : 30 Days | batteries_required : No | wireless_type : Bluetooth | connector_type : USB | device_interface_primary : Microphone | country_of_origin : China | item_weight : 140 g | ratings : 249 | item_dimensions_lxwxh : 10 x 10 x 5 Millimeters | net_quantity : 1.00 count"
B0949SBKMP,"#1,772 in Electronics #142 inSmart Watches",25-Jul-21,"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)",2099,6990,FALSE,FALSE,FALSE,18754,3.9,In stock,Appario Retail Private Ltd,FBA,0,"brand : BoAt | manufacturer : Imagine Marketing Ltd | series : Flash Edition | colour : Lightning Black | item_height : 10 Millimeters | item_width : 40 Millimeters | standing_screen_display_size : 1.3 Inches | product_dimensions : 26 x 4 x 1 cm; 54 Grams | batteries : 1 Lithium Polymer batteries required. (included) | item_model_number : Watch Flash | connectivity_type : Bluetooth | wireless_type : Bluetooth | operating_system : Smartwatch | average_battery_life_in_hours : 7 Days | are_batteries_included : Yes | lithium_battery_energy_content : 200 Milliampere Hour (mAh) | number_of_lithium_ion_cells : 1 | included_components : User Manual, Magnetic USB Charging Cable, Warranty Card, Watch Flash | country_of_origin : China | imported_by : Imagine Marketing Ltd | item_weight : 54 g | ratings : 18,754 | packer : Imagine Marketing Limited ,Unit no. 204 & 205, 2nd floor, D-wing & E-wing, Corporate Avenue,Andheri Ghatkopar Link Road, Mumbai, Maharashtra-400093, India | importer : Imagine Marketing Pvt Ltd., Mumbai, Maharashtra- 400093 | item_dimensions_lxwxh : 26 x 4 x 1 Centimeters | net_quantity : 1 Piece | generic_name : Watch Flash"
B07MDGSP8F,#8 in Watches (See Top 100 in Watches)#1 inMen's Wrist Watches,30-Nov-18,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,319,1799,TRUE,FALSE,FALSE,9970,3.8,In stock,TIMEWEAR & BEYOND,FBA,0,"is_discontinued_by_manufacturer : No | product_dimensions : 22 x 3.8 x 0.8 cm; 130 Grams | manufacturer : Timewear & Beyond, Toll Free No. | item_model_number : 221WDTG | country_of_origin : India | department : Men | packer : Timewear & Beyond | item_weight : 130 g | item_dimensions_lxwxh : 22 x 3.8 x 0.8 Centimeters | net_quantity : 1.00 count | generic_name : Casual Watch | ratings : 9,970"
B095YWP668,#30 in Watches (See Top 100 in Watches)#12 inMen's Wrist Watches,09-Feb-22,Acnos Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1,275,1499,TRUE,FALSE,FALSE,1041,4,In stock,A SQUARE EMPIRE,FBA,0,"is_discontinued_by_manufacturer : No | product_dimensions : 20.32 x 25.4 x 20.32 cm; 250 Grams | manufacturer : Acnos | item_model_number : NEW-SF | country_of_origin : India | department : men | packer : Acnos India | item_weight : 250 g | item_dimensions_lxwxh : 20.3 x 25.4 x 20.3 Centimeters | net_quantity : 1.00 count | generic_name : Sport Watch | ratings : 1,041"
B094DPN6XP,"#3,727 in Watches (See Top 100 in Watches)#1,208 inWomen's Wrist Watches",07-May-21,Amazon Brand - Eden & Ivy Analog Women's Watch,1171,3299,FALSE,FALSE,FALSE,48,4.2,In stock,VRP Telematics,FBA,0,"product_dimensions : 10 x 8.5 x 5.5 cm; 40 Grams | manufacturer : Cloudtail India Pvt Ltd, Cloudtail India Pvt Limited | item_model_number : AZ-EI-SS21-05A | country_of_origin : India | department : womens | packer : Cloudtail (I) Pvt Limited | item_weight : 40 g | item_dimensions_lxwxh : 10 x 8.5 x 5.5 Centimeters | net_quantity : 1 count | generic_name : Dress Watch | ratings : 48"
B094DNRXFP,"#7,136 in Watches (See Top 100 in Watches)#2,380 inWomen's Wrist Watches",07-May-21,Amazon Brand - Eden & Ivy Analog Women's Watch,2879,3599,FALSE,FALSE,FALSE,30,4.2,In stock,VRP Telematics,FBA,0,"product_dimensions : 10 x 8.5 x 5.5 cm; 70 Grams | manufacturer : Cloudtail India Pvt Ltd, Cloudtail India Pvt Limited | item_model_number : AZ-EI-SS21-02D | country_of_origin : India | department : womens | packer : Cloudtail (I) Pvt Limited | item_weight : 70 g | item_dimensions_lxwxh : 10 x 8.5 x 5.5 Centimeters | net_quantity : 1 count | generic_name : Dress Watch | ratings : 30"
B094DMZ28N,"#9,102 in Watches (See Top 100 in Watches)#2,973 inWomen's Wrist Watches",07-May-21,Amazon Brand - Eden & Ivy Analog Women's Watch,2879,3599,FALSE,FALSE,FALSE,36,4,In stock,VRP Telematics,FBA,0,"product_dimensions : 10 x 8.5 x 5.5 cm; 50 Grams | manufacturer : Cloudtail India Pvt Ltd, Cloudtail India Pvt Limited | item_model_number : AZ-EI-SS21-08D | country_of_origin : India | department : Womens | packer : Cloudtail (I) Pvt Limited | item_weight : 50 g | item_dimensions_lxwxh : 10 x 8.5 x 5.5 Centimeters | net_quantity : 1 count | generic_name : Dress Watch | ratings : 36"
B094DPVF11,"#8,293 in Watches (See Top 100 in Watches)#2,758 inWomen's Wrist Watches",07-May-21,Amazon Brand - Eden & Ivy Analog Women's Watch,1035,2999,FALSE,FALSE,FALSE,32,4.2,In stock,VRP Telematics,FBA,0,"product_dimensions : 10 x 8.5 x 5.5 cm; 60 Grams | manufacturer : Cloudtail India Pvt Ltd, Cloudtail India Pvt Limited | item_model_number : AZ-EI-SS21-03C | country_of_origin : India | department : womens | packer : Cloudtail (I) Pvt Limited | item_weight : 60 g | item_dimensions_lxwxh : 10 x 8.5 x 5.5 Centimeters | net_quantity : 1 count | generic_name : Dress Watch | ratings : 32"
B094DPPJ1B,"#1,705 in Watches (See Top 100 in Watches)#572 inWomen's Wrist Watches",07-May-21,Amazon Brand - Eden & Ivy Analog White Dial Women's Watch-AZ-EI-SS21-04A,1341,3599,FALSE,FALSE,FALSE,8,4.1,In stock,VRP Telematics,FBA,0,"product_dimensions : 10 x 8.5 x 5.5 cm; 60 Grams | manufacturer : Cloudtail India Pvt Ltd, Cloudtail India Pvt Limited | item_model_number : AZ-EI-SS21-04A | country_of_origin : India | department : womens | packer : Cloudtail (I) Pvt Limited | item_weight : 60 g | item_dimensions_lxwxh : 10 x 8.5 x 5.5 Centimeters | net_quantity : 1 count | generic_name : Dress Watch | ratings : 8"
B092TPFZQ1,"#1,584 in Watches (See Top 100 in Watches)#837 inMen's Wrist Watches",21-Jan-21,Carlson Raulen Chronograph Men Waterproof Luxury Fashion Military Design Quartz Sports Analog Wristwatches,1699,2999,FALSE,FALSE,FALSE,76,3.7,In stock,carlson raulen,FBA,0,package_dimensions : 13.4 x 9.6 x 5.8 cm; 190 Grams | manufacturer : Carlson Raulen | item_model_number : CRTRW010105 | country_of_origin : China | department : men | item_weight : 190 g | generic_name : casual watch | ratings : 76
B09P3G7RC6,#115 in Watches (See Top 100 in Watches)#57 inMen's Wrist Watches,23-Dec-21,FROZIL Digital Watch Shockproof Multi-Functional Automatic Full Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of-1,299,1999,FALSE,FALSE,FALSE,1335,3.8,In stock,FROZIL,MFN,0,"product_dimensions : 0.6 x 0.5 x 0.8 cm; 200 Grams | manufacturer : Frozil | item_model_number : C-Sh-Army Grey | country_of_origin : India | department : Men | packer : Frozil,India | importer : Frozil,India | item_weight : 200 g | item_dimensions_lxwxh : 6 x 5 x 8 Millimeters | net_quantity : 2.00 count | generic_name : Watch | ratings : 1,335"
B08B3FT6X4,#126 in Watches (See Top 100 in Watches)#62 inMen's Wrist Watches,16-Aug-18,VILLS LAURRENS Analogue Black Dial Day and Date Series Men's Watch (53),329,2599,FALSE,FALSE,FALSE,9727,3.4,In stock,shivay traders,FBA,0,"product_dimensions : 7 x 5 x 6 cm; 250 Grams | manufacturer : Shivay Traders | item_model_number : VL-1114 | country_of_origin : India | department : men | item_weight : 250 g | item_dimensions_lxwxh : 7 x 5 x 6 Centimeters | net_quantity : 1.00 count | generic_name : casual watch | ratings : 9,727"
B09MDDLVDH,"#2,612 in Watches (See Top 100 in Watches)#1,383 inMen's Wrist Watches",22-Nov-21,Acnos Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sport's Watches for Men's Kids Watch for Boys - Watches for Men,285,1499,TRUE,FALSE,FALSE,172,3.8,In stock,A SQUARE EMPIRE,FBA,0,is_discontinued_by_manufacturer : No | product_dimensions : 0.6 x 0.8 x 1 cm; 250 Grams | manufacturer : Acnos | item_model_number : SPPORS-BLUE | country_of_origin : India | department : Men | packer : Acnos India | item_weight : 250 g | item_dimensions_lxwxh : 6 x 8 x 10 Millimeters | net_quantity : 1.00 count | generic_name : Sport Watch | ratings : 172
B078HLGKJW,#87 in Watches (See Top 100 in Watches)#42 inMen's Wrist Watches,18-Dec-17,SWISSTYLE Analog Men's Watch (Black Dial Black Colored Strap),371,1999,TRUE,FALSE,FALSE,4610,3.5,In stock,Ebiz Solutions,FBA,0,"batteries : 1 Unknown batteries required. | is_discontinued_by_manufacturer : No | package_dimensions : 7.9 x 7.8 x 6.7 cm; 200 Grams | manufacturer : EBIZ SOLUTION | item_model_number : SS-GR06612-BLK-CH | country_of_origin : India | department : Men | item_weight : 200 g | generic_name : Watch | ratings : 4,610"
